dt,x,y,position,velocity,acceleration,jerk,heading
1.000000,3.420116,140.901525,4.000000,8.000000,8.000000,8.000000,0.030223
1.000000,13.836001,141.828445,14.457047,10.457047,2.457047,-5.542953,0.158215
1.000000,28.025852,146.647022,29.442725,14.985678,4.528631,2.071584,0.567550
1.000000,36.805534,158.937879,44.547294,15.104569,0.118891,-4.409740,1.279185
1.000000,39.095067,179.383680,65.120887,20.573593,5.469024,5.350133,1.559328
1.000000,39.208292,203.727733,89.465203,24.344317,3.770724,-1.698300,1.530471
1.000000,44.417214,231.003815,117.234205,27.769002,3.424685,-0.346039,1.185627
1.000000,72.262850,253.253290,152.877137,35.642932,7.873930,4.449244,0.024972
1.000000,101.049721,243.288486,183.339922,30.462785,-5.180147,-13.054077,5.734421
1.000000,121.434981,229.615483,207.885998,24.546076,-5.916709,-0.736562,5.688673
1.000000,139.586979,219.405906,228.712196,20.826197,-3.719879,2.196830,5.948809
1.000000,147.772520,220.495353,236.969918,8.257722,-12.568475,-8.848596,0.911479
1.000000,153.317278,234.772135,252.285624,15.315706,7.057983,19.626458,1.349660
1.000000,155.320523,246.755137,264.434918,12.149294,-3.166412,-10.224395,1.449839
1.000000,155.857170,251.756377,269.464867,5.029949,-7.119345,-3.952933,1.477041
1.000000,155.916200,252.394790,270.106003,0.641136,-4.388813,2.730532,1.480136
1.000000,155.916200,252.394790,270.106003,0.000000,-0.641136,3.747676,1.480136
