dt,x,y,position,velocity,acceleration,jerk,heading
1.000000,3.782739,128.907006,4.000000,8.000000,8.000000,8.000000,0.030223
1.000000,15.726671,129.978324,16.000000,16.000000,8.000000,0.000000,0.158215
1.000000,34.476670,136.528379,36.000000,24.000000,8.000000,0.000000,0.567550
1.000000,48.298916,155.487927,60.000000,24.000000,0.000000,-8.000000,1.279185
1.000000,51.094278,179.246066,84.000000,24.000000,0.000000,0.000000,1.559328
1.000000,51.198537,203.243966,108.000000,24.000000,0.000000,0.000000,1.530471
1.000000,55.538031,226.495220,132.000000,24.000000,0.000000,0.000000,1.185627
1.000000,72.562484,241.257031,156.000000,24.000000,0.000000,0.000000,0.024972
1.000000,94.790124,233.050447,180.000000,24.000000,0.000000,0.000000,5.734421
1.000000,114.713724,219.674421,204.000000,24.000000,0.000000,0.000000,5.688673
1.000000,135.648817,208.070524,228.000000,24.000000,0.000000,0.000000,5.948809
1.000000,157.257448,213.144425,252.000000,24.000000,0.000000,0.000000,0.911479
1.000000,165.025065,232.140078,272.678221,17.356442,-6.643558,-6.643558,1.349660
1.000000,167.232846,245.307190,286.034663,9.356442,-8.000000,-1.356442,1.449839
1.000000,167.804469,250.632965,291.391105,1.356442,-8.000000,0.000000,1.477041
1.000000,167.866918,251.308361,292.069326,0.000000,-1.356442,6.643558,1.480136
1.000000,167.866918,251.308361,292.069326,0.000000,0.000000,1.356442,1.480136
