dt,x,y,position,velocity,acceleration,jerk,heading
1.000000,4.145362,116.912486,4.000000,8.000000,8.000000,8.000000,0.030223
1.000000,17.617340,118.128203,17.526720,13.526720,5.526720,-2.473280,0.158215
1.000000,40.927488,126.409735,42.264278,24.737557,11.210837,5.684116,0.567550
1.000000,59.792298,152.037974,74.087032,31.822754,7.085197,-4.125640,1.279185
1.000000,63.093489,179.108452,101.358054,27.271022,-4.551732,-11.636929,1.559328
1.000000,63.188782,202.760199,125.009993,23.651939,-3.619083,0.932649,1.530471
1.000000,66.658848,221.986624,144.547055,19.537062,-4.114877,-0.495795,1.185627
1.000000,72.862117,229.260773,154.107065,9.560010,-9.977052,-5.862175,0.024972
1.000000,88.530527,222.812408,171.050514,16.943449,7.383440,17.360492,5.734421
1.000000,107.992467,209.733359,194.498939,23.448425,6.504976,-0.878464,5.688673
1.000000,131.710654,196.735142,221.545307,27.046368,3.597943,-2.907032,5.948809
1.000000,166.742377,205.793497,257.729217,36.183910,9.137542,5.539599,0.911479
1.000000,176.732852,229.508021,283.462236,25.733019,-10.450891,-19.588433,1.349660
1.000000,179.145169,243.859242,298.014790,14.552554,-11.180465,-0.729574,1.449839
1.000000,179.751767,249.509553,303.697568,5.682778,-8.869775,2.310690,1.477041
1.000000,179.817637,250.221932,304.412987,0.715418,-4.967360,3.902415,1.480136
1.000000,179.817637,250.221932,304.412987,0.000000,-0.715418,4.251942,1.480136
