dt,x,y,position,velocity,acceleration,jerk,heading
1.000000,2.715967,116.726541,4.000000,8.000000,8.000000,8.000000,6.187541
1.000000,9.612506,114.766556,11.169643,7.169643,-0.830357,-8.830357,5.789053
1.000000,18.381622,105.066488,24.245909,13.076266,5.906623,6.736980,5.226713
1.000000,27.719062,84.250516,47.060213,22.814304,9.738038,3.831415,5.128860
1.000000,44.305506,60.075065,76.378510,29.318298,6.503994,-3.234044,5.595321
1.000000,62.626487,55.739499,95.205499,18.826988,-10.491309,-16.995303,5.164239
1.000000,66.748378,35.815830,115.551077,20.345579,1.518590,12.009900,4.861936
1.000000,69.794740,12.427119,139.137347,23.586270,3.240691,1.722101,4.827620
1.000000,72.330179,-11.251184,162.951008,23.813661,0.227391,-3.013300,4.812077
1.000000,74.589863,-35.033340,186.840276,23.889269,0.075608,-0.151784,4.802845
1.000000,76.672646,-58.867704,210.765469,23.925193,0.035924,-0.039683,4.796627
1.000000,78.631076,-82.733695,234.711680,23.946211,0.021018,-0.014907,4.792125
1.000000,80.496970,-106.620155,258.670906,23.959226,0.013016,-0.008002,4.788714
1.000000,82.291429,-130.520753,282.638773,23.967868,0.008642,-0.004374,4.786047
1.000000,84.029432,-154.432657,306.613756,23.974983,0.007115,-0.001526,4.783920
1.000000,85.721931,-178.352002,330.592906,23.979150,0.004167,-0.002948,4.782199
1.000000,87.377531,-202.278285,354.576401,23.983495,0.004345,0.000178,4.780798
1.000000,89.002944,-226.209174,378.562427,23.986026,0.002531,-0.001814,4.779653
1.000000,90.603805,-250.144761,402.551488,23.989061,0.003035,0.000504,4.778723
1.000000,92.184764,-274.083746,426.542620,23.991132,0.002071,-0.000964,4.777974
1.000000,93.749872,-298.025572,450.535549,23.992929,0.001796,-0.000275,4.777385
1.000000,95.302720,-321.969939,474.530216,23.994667,0.001738,-0.000058,4.776939
1.000000,96.846562,-345.916558,498.526549,23.996334,0.001667,-0.000071,4.776622
1.000000,98.384400,-369.864985,522.524301,23.997751,0.001418,-0.000249,4.776429
1.000000,99.919099,-393.815013,546.523449,23.999149,0.001397,-0.000020,4.776352
1.000000,101.453446,-417.766437,570.523969,24.000519,0.001371,-0.000027,4.776392
1.000000,102.990226,-441.719192,594.525973,24.002004,0.001484,0.000113,4.776548
1.000000,104.532267,-465.672982,618.529347,24.003374,0.001370,-0.000114,4.776825
1.000000,106.082536,-489.627661,642.534136,24.004790,0.001416,0.000045,4.777229
1.000000,107.644239,-513.583486,666.540813,24.006676,0.001887,0.000471,4.777771
1.000000,109.220849,-537.540080,690.549230,24.008417,0.001740,-0.000146,4.778467
1.000000,110.816284,-561.497324,714.559539,24.010309,0.001893,0.000152,4.779336
1.000000,112.435119,-585.456010,738.572853,24.013314,0.003004,0.001112,4.780409
1.000000,114.082612,-609.415055,762.588474,24.015621,0.002308,-0.000696,4.781723
1.000000,115.765294,-633.375530,786.607962,24.019488,0.003867,0.001559,4.783334
1.000000,117.491217,-657.337508,810.632017,24.024055,0.004567,0.000700,4.785321
1.000000,119.270763,-681.301319,834.661811,24.029794,0.005740,0.001173,4.787798
